town,attr,pop,voting_pop,age,income,unemployment,poverty,owner,highSchool,bachelor
Easton,downtown,27100,19703,34,50143,0.06,0.17,0.46,0.81,0.21
Wilson Borough,wilson,7795,5809,37,60163,0.07,0.08,0.58,0.9,0.22
Palmer,palmer,21272,17228,47,79339,0.04,0.04,0.8,0.93,0.34
Lower Nazareth,lower_nazareth,6125,4570,44,102438,0.05,0.04,0.91,0.96,0.4
Nazareth,nazareth,5698,4422,40,54774,0.09,0.13,0.46,0.9,0.31
Upper Nazareth,upper_nazareth,6764,5030,43,94866,0.06,0.08,0.81,0.93,0.36
Bath,bath,2670,1995,38,45846,0.09,0.15,0.6,0.88,0.18
East Allen,east_allen,4875,3946,50,75625,0.07,0.08,0.91,0.95,0.21
Moore,moore,9275,7342,48,72933,0.04,0.06,0.92,0.93,0.21
Lehigh Twp.,north,10432,8254,47,71064,0.07,0.07,0.9,0.9,0.26
